CLUB_NBR,CLUB_NAME,MARKET_AREA_NBR,MARKET_AREA_NAME,REGION_NBR,REGION_NAME
6779,MOORE OK,97,OK / N. TX,4,SOUTH CENTRAL
8201,"BRADENTON, FL",96,TAMPA,7,SOUTHEAST
6571,"FLORENCE, SC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
4724,"HOOVER, AL",2,AL / GA,7,SOUTHEAST
8211,"DOUGLASVILLE,GA",93,ATLANTA,7,SOUTHEAST
6676,"WILLOW GROVE(HATBORO), PA",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6421,"CONROE, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
4802,"HIRAM, GA",93,ATLANTA,7,SOUTHEAST
4973,"DUBUQUE, IA",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
6455,"OXNARD, CA",55,LOS ANGELES/HAWAII,9,WESTERN
6342,"TULSA (E), OK",6,OK / W. AR,4,SOUTH CENTRAL
6609,"PALM DESERT, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8243,RAYMORE MO,21,KANSAS CITY,11,NORTH CENTRAL
8142,"SPARTANBURG, SC",22,SOUTH CAROLINA / GA,7,SOUTHEAST
8288,"MIDLAND, TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
8104,"LITTLE ROCK, AR",6,OK / W. AR,4,SOUTH CENTRAL
8164,"WAUKESHA, WI",32,WISCONSIN,11,NORTH CENTRAL
6673,"CHEEKTOWAGA, NY",20,UPSTATE NEW YORK,1,NORTHEAST
6452,"ASHEVILLE, NC",50,NORTH CAROLINA,7,SOUTHEAST
8275,"BEAUMONT, TX",52,S. HOUSTON,4,SOUTH CENTRAL
6319,"KENTWOOD, MI",45,MICHIGAN,11,NORTH CENTRAL
6240,"GLENDORA, CA",55,LOS ANGELES/HAWAII,9,WESTERN
6204,"VALDOSTA, GA",16,N. FL / S. GA,7,SOUTHEAST
4772,"SARASOTA, FL",96,TAMPA,7,SOUTHEAST
6331,"KENOSHA, WI",32,WISCONSIN,11,NORTH CENTRAL
6354,"MIDLOTHIAN, VA",33,VIRGINIA,1,NORTHEAST
8175,"HARRISBURG, PA",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
8117,"OK CITY (N), OK",97,OK / N. TX,4,SOUTH CENTRAL
6256,"MEMPHIS (S), TN",90,MEMPHIS/AL,4,SOUTH CENTRAL
6403,"BRANDON, FL",96,TAMPA,7,SOUTHEAST
6202,"LUFKIN, TX",91,N. LA / TX,4,SOUTH CENTRAL
4996,"DANVILLE (C), VA",33,VIRGINIA,1,NORTHEAST
6212,"ORLANDO, FL",7,ORLANDO,7,SOUTHEAST
4851,"CLARKSVILLE, IN",49,CINCINNATI/KENTUCKY,1,NORTHEAST
8256,"KNOXVILLE, TN",28,TENNESSEE,7,SOUTHEAST
6653,"GAITHERSBURG, MD",85,MARYLAND,1,NORTHEAST
4878,GLEN CARBON IL,3,ST. LOUIS,11,NORTH CENTRAL
4837,"DENHAM SPRINGS, LA",91,N. LA / TX,4,SOUTH CENTRAL
6608,"PHOENIX, AZ",37,AZ,9,WESTERN
8244,"HOUSTON (S), TX",52,S. HOUSTON,4,SOUTH CENTRAL
6439,"ODESSA,TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
6311,"SHAKOPEE, MN",23,MINNESOTA,9,WESTERN
6260,"BARTLETT, TN",90,MEMPHIS/AL,4,SOUTH CENTRAL
4732,"GLENDALE, AZ",37,AZ,9,WESTERN
6384,"HODGKINS, IL",17,CHICAGO,11,NORTH CENTRAL
6351,"NEWPORT NEWS, VA",33,VIRGINIA,1,NORTHEAST
8253,"JACKSONVILLE(N), FL",16,N. FL / S. GA,7,SOUTHEAST
8190,"TEXAS CITY, TX",52,S. HOUSTON,4,SOUTH CENTRAL
6246,EL PASO TX,47,W. TEXAS / NEW MEXICO,9,WESTERN
8173,"MIRAMAR, FL",19,S. FLORIDA,7,SOUTHEAST
8297,"ROCKFORD, IL",32,WISCONSIN,11,NORTH CENTRAL
6181,PAPILLION NE,39,NE / IA,11,NORTH CENTRAL
6238,OWASSO OK,6,OK / W. AR,4,SOUTH CENTRAL
8133,"FLORENCE, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
6693,"LANGHORNE, PA",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
4825,"HOT SPRINGS, AR",6,OK / W. AR,4,SOUTH CENTRAL
6867,HOUSTON CINCO TX,52,S. HOUSTON,4,SOUTH CENTRAL
8286,"WACO, TX",27,DALLAS,4,SOUTH CENTRAL
6189,APOPKA FL,7,ORLANDO,7,SOUTHEAST
6219,"COLORADO SPRINGS, CO",56,CO,9,WESTERN
6372,"DALLAS, TX",27,DALLAS,4,SOUTH CENTRAL
6781,KELLER TX,30,FT. WORTH,4,SOUTH CENTRAL
6570,"RALEIGH, NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
4795,"GRAPEVINE, TX",30,FT. WORTH,4,SOUTH CENTRAL
8146,"OMAHA, NE",39,NE / IA,11,NORTH CENTRAL
6352,"HUDSON, NH",20,UPSTATE NEW YORK,1,NORTHEAST
6310,"FRIDLEY, MN",23,MINNESOTA,9,WESTERN
6539,"WATERTOWN, NY",20,UPSTATE NEW YORK,1,NORTHEAST
4749,CONWAY AR,6,OK / W. AR,4,SOUTH CENTRAL
8191,"WILKES-BARRE,PA",15,NJ / PA / NY,1,NORTHEAST
8119,"PENSACOLA, FL",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6441,"LAKELAND (N),FL",96,TAMPA,7,SOUTHEAST
6422,"LONGVIEW, TX",91,N. LA / TX,4,SOUTH CENTRAL
8165,"SIOUX FALLS, SD",94,BIG SKY / CO,9,WESTERN
8192,"DOTHAN, AL",16,N. FL / S. GA,7,SOUTHEAST
6309,"WHITE BEAR LAKE, MN",23,MINNESOTA,9,WESTERN
4799,"CITRUS HEIGHTS, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
6385,"GRAND FORKS, ND",94,BIG SKY / CO,9,WESTERN
4850,EDINBURG TX,8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6540,"CHARLOTTE, NC",50,NORTH CAROLINA,7,SOUTHEAST
6674,"ELMSFORD, NY",15,NJ / PA / NY,1,NORTHEAST
4728,NICHOLASVILLE KY,49,CINCINNATI/KENTUCKY,1,NORTHEAST
6463,"ANDERSON, SC",22,SOUTH CAROLINA / GA,7,SOUTHEAST
6315,"MISHAWAKA, IN",38,INDIANA,11,NORTH CENTRAL
6356,"FISHKILL, NY",15,NJ / PA / NY,1,NORTHEAST
6547,"MUNCY, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
8158,WOODSTOCK GA,93,ATLANTA,7,SOUTHEAST
8145,"CINNAMINSON, NJ",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6521,"HOUMA, LA",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6418,"WICHITA, KS",21,KANSAS CITY,11,NORTH CENTRAL
4836,"OXFORD, AL",2,AL / GA,7,SOUTHEAST
4847,GREENSBURG PA,24,PITTSBURGH / W. PA,1,NORTHEAST
4743,"PLANO (E), TX",27,DALLAS,4,SOUTH CENTRAL
6431,"SAM'S ELMIRA, NY",20,UPSTATE NEW YORK,1,NORTHEAST
6359,"COMSTOCK PARK, MI",45,MICHIGAN,11,NORTH CENTRAL
4709,"CORONA, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8149,"GREEN BAY, WI",32,WISCONSIN,11,NORTH CENTRAL
6358,"NORTHLAKE, IL",17,CHICAGO,11,NORTH CENTRAL
4839,TULSA HILLS OK,6,OK / W. AR,4,SOUTH CENTRAL
6651,"CATONSVILLE, MD",85,MARYLAND,1,NORTHEAST
6242,"DUBLIN, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
8279,"AMARILLO, TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
6247,KANSAS CITY LIBERTY MO,21,KANSAS CITY,11,NORTH CENTRAL
8292,"MEMPHIS (E), TN",90,MEMPHIS/AL,4,SOUTH CENTRAL
6456,"PLATTSBURGH, NY",20,UPSTATE NEW YORK,1,NORTHEAST
8266,"SHERWOOD, AR",6,OK / W. AR,4,SOUTH CENTRAL
4787,"MINNEAPOLIS, MN",23,MINNESOTA,9,WESTERN
8225,"MACON, GA",2,AL / GA,7,SOUTHEAST
6679,"WEST MIFFLIN,PA",24,PITTSBURGH / W. PA,1,NORTHEAST
6205,"YUMA, AZ",37,AZ,9,WESTERN
7189,OKLAHOMA CITY PENN SQ OK,97,OK / N. TX,4,SOUTH CENTRAL
8237,"MONROE, LA",91,N. LA / TX,4,SOUTH CENTRAL
4771,SEVERN MD,85,MARYLAND,1,NORTHEAST
4969,"BENTONVILLE, AR",6,OK / W. AR,4,SOUTH CENTRAL
6567,"EASTON, PA",15,NJ / PA / NY,1,NORTHEAST
6433,"VACAVILLE, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
8268,"N. RICHLAND HILLS, TX",30,FT. WORTH,4,SOUTH CENTRAL
6614,"EL MONTE, CA",55,LOS ANGELES/HAWAII,9,WESTERN
4801,"RIVERVIEW, FL",96,TAMPA,7,SOUTHEAST
6457,"CHARLESTON, WV",81,WEST VIRGINIA/OHIO,1,NORTHEAST
6375,"LIMA, OH",31,CLEVELAND,1,NORTHEAST
4782,"KISSIMMEE, FL",7,ORLANDO,7,SOUTHEAST
4763,"SUGAR LAND, TX",52,S. HOUSTON,4,SOUTH CENTRAL
4735,"LA HABRA, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8213,"COLUMBUS, GA",2,AL / GA,7,SOUTHEAST
6658,"JACKSON, MI",45,MICHIGAN,11,NORTH CENTRAL
6326,"REYNOLDSBURG, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
8247,"HOMEWOOD, AL",2,AL / GA,7,SOUTHEAST
8102,"MOBILE, AL",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
8298,"JOLIET, IL",17,CHICAGO,11,NORTH CENTRAL
6677,"MONROEVILLE, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
6524,"COLONIAL HEIGHTS, VA",33,VIRGINIA,1,NORTHEAST
4713,"SHENANDOAH, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
6667,"YPSILANTI, MI",62,DETROIT,11,NORTH CENTRAL
6379,"GREAT FALLS, MT",98,UT / MT / ID,9,WESTERN
8139,"TOLEDO, OH",31,CLEVELAND,1,NORTHEAST
6659,"MADISON HEIGHTS, MI",62,DETROIT,11,NORTH CENTRAL
8150,"PORT ST LUCIE, FL",19,S. FLORIDA,7,SOUTHEAST
8141,"MELBOURNE, FL",7,ORLANDO,7,SOUTHEAST
4983,"LAS VEGAS (RAINBOW), NV",41,NEVADA / N CALIFORNIA,9,WESTERN
6675,"ERIE, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
8274,"HOUSTON (NW),TX",52,S. HOUSTON,4,SOUTH CENTRAL
6662,"ROSEVILLE, MI",62,DETROIT,11,NORTH CENTRAL
8289,"OK CITY (W), OK",97,OK / N. TX,4,SOUTH CENTRAL
6349,"EVERGREEN PARK, IL",17,CHICAGO,11,NORTH CENTRAL
4857,CAPE CORAL (PINE) FL,19,S. FLORIDA,7,SOUTHEAST
8257,"SAM'S HENDERSONVILLE, TN",28,TENNESSEE,7,SOUTHEAST
6686,"SALT LAKE CITY, UT",98,UT / MT / ID,9,WESTERN
4739,"SNELLVILLE, GA",93,ATLANTA,7,SOUTHEAST
6520,"VERO BEACH, FL",19,S. FLORIDA,7,SOUTHEAST
4991,"COCOA, FL",7,ORLANDO,7,SOUTHEAST
4789,"SHARPSBURG, GA",2,AL / GA,7,SOUTHEAST
6409,"TUCKER, GA",93,ATLANTA,7,SOUTHEAST
4712,"HOUSTON(MEM), TX",52,S. HOUSTON,4,SOUTH CENTRAL
8152,"SOUTH POINT, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
6228,"VERNON HILLS, IL",17,CHICAGO,11,NORTH CENTRAL
8265,"LAKE CHARLES,LA",91,N. LA / TX,4,SOUTH CENTRAL
6644,"OAKWOOD, GA",93,ATLANTA,7,SOUTHEAST
6619,"ONTARIO, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8224,"WICHITA FALLS, TX",97,OK / N. TX,4,SOUTH CENTRAL
4702,"FRIENDSWOOD, TX",52,S. HOUSTON,4,SOUTH CENTRAL
8242,"DALLAS (E), TX",27,DALLAS,4,SOUTH CENTRAL
8283,"COLUMBIA, SC",22,SOUTH CAROLINA / GA,7,SOUTHEAST
6415,"JOPLIN, MO",21,KANSAS CITY,11,NORTH CENTRAL
4790,"PEARL, MS",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
4711,"VIRGINIA BEACH, VA",33,VIRGINIA,1,NORTHEAST
8205,"SAINT LOUIS, MO",3,ST. LOUIS,11,NORTH CENTRAL
8185,"EAU CLAIRE, WI",32,WISCONSIN,11,NORTH CENTRAL
8160,"TEMPLE, PA",15,NJ / PA / NY,1,NORTHEAST
6245,HARKER HEIGHTS TX,27,DALLAS,4,SOUTH CENTRAL
4791,"GARDEN CITY, KS",21,KANSAS CITY,11,NORTH CENTRAL
6335,"OCALA, FL",7,ORLANDO,7,SOUTHEAST
6328,"CICERO, IL",17,CHICAGO,11,NORTH CENTRAL
4989,"AUBURN, AL",2,AL / GA,7,SOUTHEAST
4914,SAN ANTONIO N TX,8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
4952,"TARENTUM, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
6369,"EDISON, NJ",15,NJ / PA / NY,1,NORTHEAST
8123,"EVANSVILLE, IN",38,INDIANA,11,NORTH CENTRAL
4785,"SANFORD, FL",7,ORLANDO,7,SOUTHEAST
6413,"LINCOLN (N), NE",39,NE / IA,11,NORTH CENTRAL
6660,"PORT HURON, MI",62,DETROIT,11,NORTH CENTRAL
8136,"DAYTON, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
8281,"HOUSTON (E), TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
4982,"MOUNT PLEASANT, MI",45,MICHIGAN,11,NORTH CENTRAL
6428,"MEDFORD, NY",15,NJ / PA / NY,1,NORTHEAST
6217,"MIAMI, FL",19,S. FLORIDA,7,SOUTHEAST
4781,"LANSING (E),MI",45,MICHIGAN,11,NORTH CENTRAL
8276,"LOUISVILLE, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
4822,"MURRIETA, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8196,"FLORENCE, AL",90,MEMPHIS/AL,4,SOUTH CENTRAL
8125,"SAINT LOUIS, MO",3,ST. LOUIS,11,NORTH CENTRAL
4783,"GARLAND, TX",30,FT. WORTH,4,SOUTH CENTRAL
6302,"OAKWOOD VILLAGE, OH",31,CLEVELAND,1,NORTHEAST
6533,"STATE COLLEGE, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
4911,MANSFIELD TX,30,FT. WORTH,4,SOUTH CENTRAL
4720,"AUSTIN, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
8223,"RALEIGH, NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
6239,"TIMONIOUM, MD",85,MARYLAND,1,NORTHEAST
4794,LAKELAND(S) FL,96,TAMPA,7,SOUTHEAST
8128,"PEORIA, IL",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
4721,"HOUSTON (W'BROOK), TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
6213,"CHANDLER, AZ",37,AZ,9,WESTERN
6506,"ALBANY, GA",16,N. FL / S. GA,7,SOUTHEAST
6425,"CASPER, WY",94,BIG SKY / CO,9,WESTERN
4933,"BISMARCK, ND",94,BIG SKY / CO,9,WESTERN
6387,PINELLAS PARK FL,96,TAMPA,7,SOUTHEAST
6437,"BLOOMINGTON, IN",38,INDIANA,11,NORTH CENTRAL
6489,"CALUMET CITY, IL",17,CHICAGO,11,NORTH CENTRAL
6305,"BROOKLYN, OH",31,CLEVELAND,1,NORTHEAST
6631,"AURORA, CO",56,CO,9,WESTERN
8228,"WINSTON-SALEM, NC",50,NORTH CAROLINA,7,SOUTHEAST
4876,"BOWLING GREEN, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
8282,"DALLAS (S), TX",30,FT. WORTH,4,SOUTH CENTRAL
4852,"WESLEY CHAPEL, FL",96,TAMPA,7,SOUTHEAST
6312,"WOODBURY, MN",23,MINNESOTA,9,WESTERN
6366,"VESTAL, NY",20,UPSTATE NEW YORK,1,NORTHEAST
8188,"LEXINGTON, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
6582,BLUFFTON SC,22,SOUTH CAROLINA / GA,7,SOUTHEAST
4741,"SAINT LOUIS, MO",3,ST. LOUIS,11,NORTH CENTRAL
6401,"TAMPA, FL",96,TAMPA,7,SOUTHEAST
6412,"SOUTHGATE, MI",62,DETROIT,11,NORTH CENTRAL
4775,"METAIRIE, LA",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6458,"LYNCHBURG, VA",33,VIRGINIA,1,NORTHEAST
6503,"HATTIESBURG, MS",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
8203,MARIETTA GA,93,ATLANTA,7,SOUTHEAST
4828,ORLANDO LAKE NONA FL,7,ORLANDO,7,SOUTHEAST
6536,"WHITEHALL, PA",15,NJ / PA / NY,1,NORTHEAST
8209,"FAYETTEVILLE, AR",6,OK / W. AR,4,SOUTH CENTRAL
8296,"SPRINGFIELD, MO",21,KANSAS CITY,11,NORTH CENTRAL
6626,"SOUTHGATE, CA",55,LOS ANGELES/HAWAII,9,WESTERN
4730,"WEST JORDAN, UT",98,UT / MT / ID,9,WESTERN
4962,"SANDUSKY, OH",31,CLEVELAND,1,NORTHEAST
4729,"STERLING, VA",85,MARYLAND,1,NORTHEAST
